length,insertionSort,mergeSort,quickSort,heapSort
848000,530236,105,752,63675
849000,530474,159,726,64257
850000,530947,158,770,64278
851000,534594,105,742,64556
852000,535407,169,766,64912
853000,534614,151,736,66067
854000,536875,107,740,65317
855000,536566,107,739,64635
856000,538999,166,761,65328
857000,540517,141,745,66509
858000,543412,169,752,67521
859000,544596,151,766,64966
860000,544938,110,765,65699
861000,544184,118,784,65934
862000,547923,166,779,68552
863000,548147,131,797,67589
864000,548594,106,791,67076
865000,550034,165,769,66824
866000,553462,108,800,66673
867000,552332,161,799,66641
868000,553471,114,802,69532
869000,553938,107,794,67510
870000,555926,158,804,66980
871000,559076,119,790,67453
872000,559152,147,817,66737
873000,560910,131,781,69836
874000,560813,127,810,67243
875000,562240,147,851,68408
876000,563630,112,773,70186
877000,564855,108,780,68674
878000,566668,116,799,67892
879000,567511,144,794,69989
880000,570620,111,794,70918
881000,569932,167,817,68938
882000,575028,108,791,70616
883000,574572,109,758,70278
884000,575269,114,839,69383
885000,576201,166,801,69989
886000,577537,169,814,69760
887000,578876,168,827,72335
888000,579905,118,851,72072
889000,581790,113,827,69966
890000,583647,117,805,70672
891000,584892,168,849,71355
892000,585647,164,844,72939
893000,585473,196,829,71268
894000,587525,156,822,71100
895000,588242,111,807,71412
896000,592028,112,813,70710
897000,593518,124,799,73721
898000,593981,172,795,72160
899000,594570,166,856,73714
900000,596042,116,843,71929
901000,599789,128,814,72562
902000,600555,129,853,72584
903000,600367,167,842,73759
904000,600760,150,879,74689
905000,604436,120,833,75310
906000,604293,174,856,72968
907000,606191,144,846,75995
908000,606327,170,849,73237
909000,608688,126,897,73522
910000,610220,116,858,74432
911000,611538,175,827,73039
912000,611162,181,882,73261
913000,613350,121,861,73814
914000,616108,154,863,79621
915000,615468,118,873,75079
916000,618909,113,853,73991
917000,619174,150,868,76162
918000,620842,119,928,77161
919000,621881,137,856,74300
920000,622905,163,869,77470
921000,624937,165,861,75266
922000,625989,113,892,75069
923000,626957,115,898,78036
924000,629793,180,874,78736
925000,630465,173,880,77215
926000,632452,115,882,75777
927000,631989,174,931,77079
928000,634413,174,847,76646
929000,636620,137,877,76539
930000,635500,114,924,76763
931000,638433,180,963,76949
932000,640074,163,887,77306
933000,640531,150,894,77099
934000,642904,116,925,79492
935000,642889,125,891,79380
936000,645254,195,936,77683
937000,646309,143,911,80451
938000,647884,121,890,78675
939000,648295,208,934,79838
940000,651051,178,947,81355
941000,650677,182,896,80573
942000,653805,220,945,79213
943000,654731,119,929,78864
944000,656201,169,909,80765
945000,658036,178,932,80835
946000,658688,120,906,79747
947000,660255,146,943,79954
948000,664848,130,984,80930
949000,662447,139,965,82314
950000,665175,120,973,80055
951000,666889,182,908,80594
952000,667521,166,926,80434
953000,668724,157,925,81515
954000,671606,117,914,83040
955000,672117,183,932,83475
956000,672104,174,932,83825
957000,672920,122,922,81242
958000,676167,177,960,81108
959000,676919,160,949,81729
960000,679134,179,963,83533
961000,680295,193,932,83580
